framed,player_id,round_nr,participant_code,s1,s1_cum,s1_freq,df
1,1,14,8gckk19h,0,6,0.428571429,2.114285714
1,1,14,9smjkz19,0,0,0,1.857142857
0,1,14,bhaakguo,0,2,0.142857143,1.8
0,1,14,bollw9mr,0,10,0.714285714,2.542857143
0,1,14,buocfmyx,0,5,0.357142857,1.485714286
0,1,14,buxstyu5,0,6,0.428571429,2.485714286
0,1,14,chdxrfak,1,13,0.928571429,2.371428571
0,1,14,crzbb1pp,1,4,0.285714286,1.942857143
0,1,14,eze54kxk,0,6,0.428571429,2.628571429
1,1,14,g7ab12q3,1,11,0.785714286,1.885714286
0,1,14,gauqrm0f,0,11,0.785714286,1.685714286
1,1,14,i16qw3id,1,10,0.714285714,1.714285714
0,1,14,i8qt3jxw,0,6,0.428571429,2.114285714
1,1,14,ipmny9rq,0,1,0.071428571,2.257142857
1,1,14,izo49mch,0,12,0.857142857,2.2
0,1,14,jiebe12q,0,5,0.357142857,3.228571429
0,1,14,k5s3f5ne,0,6,0.428571429,1.885714286
0,1,14,kdhmpvys,1,3,0.214285714,1.742857143
0,1,14,o4plj56u,0,2,0.142857143,1.914285714
0,1,14,ogmameyc,0,1,0.071428571,1.628571429
1,1,14,or50tpef,1,10,0.714285714,1.8
1,1,14,ouaa8yuq,0,5,0.357142857,2.771428571
1,1,14,owlwqap1,0,8,0.571428571,2.8
1,1,14,oy8wn5im,0,6,0.428571429,2.2
0,1,14,qmwwptcx,0,1,0.071428571,1.714285714
1,1,14,r3oyr52t,0,0,0,2.114285714
1,1,14,rj5j60np,1,9,0.642857143,2.285714286
0,1,14,s48es8wr,0,0,0,1.828571429
1,1,14,sj2ft9f6,1,11,0.785714286,2.171428571
0,1,14,t1tzrcmi,0,2,0.142857143,1.8
0,1,14,tcleibkp,0,9,0.642857143,2.771428571
1,1,14,u9xqjsvk,1,8,0.571428571,3.257142857
0,1,14,ursirs43,1,11,0.785714286,2.257142857
1,1,14,uwz2vbjr,1,13,0.928571429,2.6
0,1,14,w8d4usex,0,7,0.5,2.657142857
0,1,14,wh4u3tph,0,0,0,2.4
1,1,14,xtfge1ys,1,14,1,1.771428571
0,1,14,xurwn6zz,0,9,0.642857143,2.428571429
0,1,14,ycniewr6,0,4,0.285714286,1.742857143
1,1,14,yh9eenkb,0,0,0,2.114285714
1,1,14,z50vt4g0,0,2,0.142857143,2.6
1,1,14,zo9j0hsi,0,2,0.142857143,2.657142857
0,2,14,0xwx0wrp,0,6,0.428571429,2.457142857
0,2,14,17fpqn72,0,1,0.071428571,2.485714286
0,2,14,20cc9xq0,0,1,0.071428571,1.914285714
1,2,14,2fsj9qvt,0,1,0.071428571,2.228571429
1,2,14,3u51j68w,0,3,0.214285714,1.514285714
0,2,14,4txwixdq,0,2,0.142857143,1.571428571
1,2,14,6fsse8c1,0,8,0.571428571,2.514285714
0,2,14,6h8woyh9,0,5,0.357142857,1.771428571
1,2,14,6ub1usmw,0,1,0.071428571,2.228571429
1,2,14,6zqxv643,0,0,0,1.428571429
1,2,14,7lpmb9fe,0,6,0.428571429,1.657142857
1,2,14,b689r07v,0,6,0.428571429,1.857142857
1,2,14,b7ctrqau,0,0,0,1.485714286
0,2,14,cpep7vdg,0,4,0.285714286,3.171428571
0,2,14,d3nnqhj1,0,0,0,2.342857143
1,2,14,e8jis7nf,0,1,0.071428571,2.657142857
0,2,14,egrlpjt0,0,4,0.285714286,1.942857143
0,2,14,elxbu53y,0,5,0.357142857,2.714285714
0,2,14,enmax74b,0,3,0.214285714,2.028571429
0,2,14,fg9bbibz,0,1,0.071428571,1.714285714
1,2,14,ftednx2p,0,0,0,2.028571429
1,2,14,gs3duosm,0,3,0.214285714,1.771428571
0,2,14,gsgult9w,0,2,0.142857143,2.4
0,2,14,gyckpsyt,0,0,0,1.8
1,2,14,i18sqw1f,0,0,0,2.171428571
1,2,14,i2nn9ow6,0,14,1,1.914285714
1,2,14,i7rlg7cc,0,1,0.071428571,1.4
0,2,14,icec28hf,0,0,0,2.657142857
1,2,14,iyu7t1vc,0,8,0.571428571,1.914285714
0,2,14,jt77i2bs,0,1,0.071428571,1.4
0,2,14,k7l2k1h7,0,2,0.142857143,1.685714286
1,2,14,kcee9wcd,0,2,0.142857143,2.028571429
1,2,14,mv7b2pla,0,8,0.571428571,2.6
0,2,14,no6j6c3d,0,3,0.214285714,2.514285714
0,2,14,o8yazhge,0,4,0.285714286,1.771428571
0,2,14,owd84sog,0,0,0,2.4
0,2,14,q9c5lo1x,0,6,0.428571429,2.285714286
1,2,14,qaes30x6,0,1,0.071428571,1.571428571
1,2,14,qkypffhk,0,0,0,2.2
1,2,14,qxal8ioj,0,2,0.142857143,2.714285714
0,2,14,st9ftz75,0,0,0,2.028571429
0,2,14,svszy7vv,0,8,0.571428571,2.485714286
0,2,14,swbsts7n,0,7,0.5,2.571428571
