DF_split,Shape,Equilibria,PU,PL
QRE_it,QRE,QRE_it,0.508132113,0.257903625
QRE_it,QRE,QRE_it,0.507784002,0.257543247
QRE_it,QRE,QRE_it,0.507435622,0.257184705
QRE_it,QRE,QRE_it,0.507086981,0.256827992
QRE_it,QRE,QRE_it,0.506738086,0.256473097
QRE_it,QRE,QRE_it,0.50638895,0.256120017
QRE_it,QRE,QRE_it,0.506039578,0.255768741
QRE_it,QRE,QRE_it,0.505689979,0.255419262
QRE_it,QRE,QRE_it,0.505340161,0.255071571
QRE_it,QRE,QRE_it,0.504990132,0.25472566
QRE_it,QRE,QRE_it,0.504639899,0.254381523
QRE_it,QRE,QRE_it,0.504289472,0.25403915
QRE_it,QRE,QRE_it,0.503938857,0.253698534
QRE_it,QRE,QRE_it,0.503588062,0.253359666
QRE_it,QRE,QRE_it,0.503237096,0.253022541
QRE_it,QRE,QRE_it,0.502885965,0.252687148
QRE_it,QRE,QRE_it,0.502534677,0.252353481
QRE_it,QRE,QRE_it,0.50218324,0.252021532
QRE_it,QRE,QRE_it,0.501831662,0.251691293
QRE_it,QRE,QRE_it,0.501479946,0.251362754
QRE_it,QRE,QRE_it,0.501128105,0.251035911
QRE_it,QRE,QRE_it,0.500776146,0.250710757
QRE_it,QRE,QRE_it,0.500424071,0.25038728
QRE_it,QRE,QRE_it,0.500071891,0.250065475
QRE_it,QRE,QRE_it,0.499719612,0.249745333
QRE_it,QRE,QRE_it,0.49936724,0.249426847
QRE_it,QRE,QRE_it,0.499014783,0.24911001
QRE_it,QRE,QRE_it,0.498662247,0.248794814
QRE_it,QRE,QRE_it,0.498309639,0.248481251
QRE_it,QRE,QRE_it,0.497956966,0.248169314
QRE_it,QRE,QRE_it,0.497604234,0.247858996
QRE_it,QRE,QRE_it,0.49725145,0.247550287
QRE_it,QRE,QRE_it,0.49689862,0.247243183
QRE_it,QRE,QRE_it,0.496545751,0.246937674
QRE_it,QRE,QRE_it,0.496192848,0.246633753
QRE_it,QRE,QRE_it,0.495839919,0.246331413
QRE_it,QRE,QRE_it,0.495486968,0.246030647
QRE_it,QRE,QRE_it,0.495134004,0.245731447
QRE_it,QRE,QRE_it,0.49478103,0.245433806
QRE_it,QRE,QRE_it,0.494428054,0.245137717
QRE_it,QRE,QRE_it,0.494075081,0.244843171
QRE_it,QRE,QRE_it,0.493722117,0.244550163
QRE_it,QRE,QRE_it,0.493369169,0.244258684
QRE_it,QRE,QRE_it,0.493016241,0.243968728
QRE_it,QRE,QRE_it,0.492663339,0.243680287
QRE_it,QRE,QRE_it,0.49231047,0.243393354
QRE_it,QRE,QRE_it,0.491957638,0.243107922
QRE_it,QRE,QRE_it,0.491604849,0.242823983
QRE_it,QRE,QRE_it,0.491252109,0.242541532
QRE_it,QRE,QRE_it,0.490899423,0.24226056
QRE_it,QRE,QRE_it,0.490546797,0.24198106
QRE_it,QRE,QRE_it,0.490194235,0.241703027
QRE_it,QRE,QRE_it,0.489841743,0.241426451
QRE_it,QRE,QRE_it,0.489489326,0.241151327
QRE_it,QRE,QRE_it,0.489136989,0.240877648
QRE_it,QRE,QRE_it,0.488784737,0.240605407
QRE_it,QRE,QRE_it,0.488432576,0.240334596
QRE_it,QRE,QRE_it,0.488080509,0.240065209
QRE_it,QRE,QRE_it,0.487728543,0.239797239
QRE_it,QRE,QRE_it,0.487376682,0.239530679
QRE_it,QRE,QRE_it,0.487024931,0.239265523
QRE_it,QRE,QRE_it,0.486673295,0.239001764
QRE_it,QRE,QRE_it,0.486321777,0.238739394
QRE_it,QRE,QRE_it,0.485970384,0.238478407
QRE_it,QRE,QRE_it,0.485619119,0.238218797
QRE_it,QRE,QRE_it,0.485267987,0.237960557
QRE_it,QRE,QRE_it,0.484916992,0.237703679
QRE_it,QRE,QRE_it,0.48456614,0.237448159
QRE_it,QRE,QRE_it,0.484215434,0.237193988
QRE_it,QRE,QRE_it,0.483864879,0.236941161
QRE_it,QRE,QRE_it,0.483514479,0.23668967
QRE_it,QRE,QRE_it,0.483164238,0.23643951
