examiner_total_payoff,examiner_strategy,ex_strategy,group_id_sess,round_number,student_total_payoff,player.company_decision,st_strategy,framed,dataset,strat_concat,cell_number,payoff_round_examiner,payoff_round_student
488,Don't Control,0,10,38,490,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
426,Control,1,11,38,344,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
490,Don't Control,0,12,38,476,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
396,Control,1,13,38,452,Cheat,1,0,17,"Control, Cheat",1,12,2
405,Don't Control,0,14,38,334,Cheat,1,0,17,"Don't Control, Cheat",3,3,16
431,Control,1,2,39,368,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
540,Don't Control,0,3,39,538,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
459,Control,1,4,39,480,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
465,Don't Control,0,6,39,538,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
495,Don't Control,0,7,39,500,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
463,Control,1,8,39,448,Cheat,1,0,17,"Control, Cheat",1,12,2
489,Don't Control,0,9,39,520,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
502,Don't Control,0,10,39,504,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
437,Control,1,11,39,354,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
504,Don't Control,0,12,39,490,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
408,Control,1,13,39,454,Cheat,1,0,17,"Control, Cheat",1,12,2
417,Control,1,14,39,336,Cheat,1,0,17,"Control, Cheat",1,12,2
442,Control,1,2,40,378,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
554,Don't Control,0,3,40,552,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
470,Control,1,4,40,490,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
479,Don't Control,0,6,40,552,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
509,Don't Control,0,7,40,514,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
474,Control,1,8,40,458,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
500,Control,1,9,40,530,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
516,Don't Control,0,10,40,518,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
448,Control,1,11,40,364,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
518,Don't Control,0,12,40,504,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
419,Control,1,13,40,464,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
429,Control,1,14,40,338,Cheat,1,0,17,"Control, Cheat",1,12,2
453,Control,1,2,41,388,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
568,Don't Control,0,3,41,566,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
481,Control,1,4,41,500,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
493,Don't Control,0,6,41,566,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
523,Don't Control,0,7,41,528,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
488,Don't Control,0,8,41,472,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
514,Don't Control,0,9,41,544,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
530,Don't Control,0,10,41,532,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
459,Control,1,11,41,374,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
532,Don't Control,0,12,41,518,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
430,Control,1,13,41,474,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
441,Control,1,14,41,340,Cheat,1,0,17,"Control, Cheat",1,12,2
464,Control,1,2,42,398,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
582,Don't Control,0,3,42,580,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
492,Control,1,4,42,510,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
507,Don't Control,0,6,42,580,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
537,Don't Control,0,7,42,542,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
491,Don't Control,0,8,42,488,Cheat,1,0,17,"Don't Control, Cheat",3,3,16
528,Don't Control,0,9,42,558,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
544,Don't Control,0,10,42,546,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
470,Control,1,11,42,384,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
546,Don't Control,0,12,42,532,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
441,Control,1,13,42,484,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
452,Control,1,14,42,350,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
475,Control,1,2,43,408,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
596,Don't Control,0,3,43,594,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
503,Control,1,4,43,520,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
521,Don't Control,0,6,43,594,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
551,Don't Control,0,7,43,556,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
502,Control,1,8,43,498,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
539,Control,1,9,43,568,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
558,Don't Control,0,10,43,560,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
481,Control,1,11,43,394,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
557,Control,1,12,43,542,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
452,Control,1,13,43,494,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
463,Control,1,14,43,360,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
486,Control,1,2,44,418,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
610,Don't Control,0,3,44,608,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
514,Control,1,4,44,530,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
535,Don't Control,0,6,44,608,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
565,Don't Control,0,7,44,570,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
513,Control,1,8,44,508,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
550,Control,1,9,44,578,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
572,Don't Control,0,10,44,574,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
492,Control,1,11,44,404,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
568,Control,1,12,44,552,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
455,Don't Control,0,13,44,510,Cheat,1,0,17,"Don't Control, Cheat",3,3,16
475,Control,1,14,44,362,Cheat,1,0,17,"Control, Cheat",1,12,2
500,Don't Control,0,2,45,432,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
624,Don't Control,0,3,45,622,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
525,Control,1,4,45,540,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
549,Don't Control,0,6,45,622,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
568,Don't Control,0,7,45,586,Cheat,1,0,17,"Don't Control, Cheat",3,3,16
527,Don't Control,0,8,45,522,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
564,Don't Control,0,9,45,592,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
586,Don't Control,0,10,45,588,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
503,Control,1,11,45,414,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
582,Don't Control,0,12,45,566,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
467,Control,1,13,45,512,Cheat,1,0,17,"Control, Cheat",1,12,2
487,Control,1,14,45,364,Cheat,1,0,17,"Control, Cheat",1,12,2
511,Control,1,2,46,442,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
638,Don't Control,0,3,46,636,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
536,Control,1,4,46,550,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
563,Don't Control,0,6,46,636,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
582,Don't Control,0,7,46,600,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
541,Don't Control,0,8,46,536,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
567,Don't Control,0,9,46,608,Cheat,1,0,17,"Don't Control, Cheat",3,3,16
600,Don't Control,0,10,46,602,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
514,Control,1,11,46,424,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
596,Don't Control,0,12,46,580,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
479,Control,1,13,46,514,Cheat,1,0,17,"Control, Cheat",1,12,2
498,Control,1,14,46,374,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
522,Control,1,2,47,452,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
652,Don't Control,0,3,47,650,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
547,Control,1,4,47,560,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
577,Don't Control,0,6,47,650,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
