participant_id_in_session,participant_code,participant_time_started,player_id,player_total_payoff,player_tax_office_decision,player_company_decision,p1s1,p2s1,s1,s2,group_id_in_subsession,round_number,session_code,framed,dataset,game_id,p1s1_cumulative,p2s1_cumulative,gender,p1_payoff,p2_payoff,degree_str,degree,Age,age_str,nationality,s1_cumulative,s1_freq,Framing,treatment
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,714,Don't Control,,0,0,0,1,1,52,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.019230769,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,726,,Don't Cheat,0,0,0,1,1,52,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.019230769,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,728,Don't Control,,0,0,0,1,1,53,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.018867925,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,740,,Don't Cheat,0,0,0,1,1,53,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.018867925,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,742,Don't Control,,0,0,0,1,1,54,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.018518519,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,754,,Don't Cheat,0,0,0,1,1,54,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.018518519,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,756,Don't Control,,0,0,0,1,1,55,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.018181818,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,768,,Don't Cheat,0,0,0,1,1,55,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.018181818,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,770,Don't Control,,0,0,0,1,1,56,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.017857143,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,782,,Don't Cheat,0,0,0,1,1,56,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.017857143,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,784,Don't Control,,0,0,0,1,1,57,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.01754386,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,796,,Don't Cheat,0,0,0,1,1,57,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.01754386,1,framed
