,lambda,p1_s1,p1_s2,p2_s1,p2_s2
1815,1.815,0.27454351902916996,0.72545648097083,0.2053860744714848,0.7946139255285152
1816,1.816,0.2744977407074701,0.7255022592925299,0.20540009379078927,0.7945999062092107
1817,1.817,0.27445201453570134,0.7255479854642987,0.2054141085970007,0.7945858914029994
1818,1.818,0.2744063404304004,0.7255936595695996,0.20542811888163487,0.7945718811183651
1819,1.819,0.2743607183082707,0.7256392816917294,0.20544212463625527,0.7945578753637447
1820,1.82,0.2743151480861827,0.7256848519138173,0.20545612585247275,0.7945438741475273
1821,1.821,0.2742696296811734,0.7257303703188267,0.20547012252194538,0.7945298774780546
1822,1.822,0.274224163010445,0.7257758369895551,0.2054841146363788,0.7945158853636212
1823,1.823,0.27417874799136543,0.7258212520086345,0.20549810218752546,0.7945018978124746
1824,1.824,0.27413338454146835,0.7258666154585317,0.20551208516718444,0.7944879148328156
1825,1.825,0.27408807257845086,0.7259119274215492,0.2055260635672014,0.7944739364327985
1826,1.826,0.2740428120201755,0.7259571879798244,0.20554003737946872,0.7944599626205313
1827,1.827,0.27399760278466817,0.7260023972153318,0.20555400659592488,0.7944459934040751
1828,1.828,0.2739524447901188,0.7260475552098811,0.20556797120855436,0.7944320287914457
1829,1.829,0.27390733795488004,0.72609266204512,0.20558193120938728,0.7944180687906127
1830,1.83,0.2738622821974673,0.7261377178025328,0.20559588659049993,0.7944041134095001
1831,1.831,0.27381727743655854,0.7261827225634415,0.20560983734401359,0.7943901626559864
1832,1.832,0.2737723235909943,0.7262276764090058,0.20562378346209498,0.794376216537905
1833,1.833,0.2737274205797757,0.7262725794202243,0.20563772493695615,0.7943622750630439
1834,1.834,0.2736825683220665,0.7263174316779335,0.2056516617608537,0.7943483382391462
1835,1.835,0.27363776673718987,0.72636223326281,0.20566559392608932,0.7943344060739107
1836,1.836,0.2735930157446311,0.726406984255369,0.20567952142500898,0.794320478574991
1837,1.837,0.2735483152640344,0.7264516847359657,0.20569344425000363,0.7943065557499964
1838,1.838,0.2735036652152041,0.7264963347847959,0.20570736239350756,0.7942926376064925
1839,1.839,0.2734590655181046,0.7265409344818953,0.20572127584799962,0.7942787241520004
1840,1.84,0.27341451609285855,0.7265854839071414,0.2057351846060026,0.7942648153939974
1841,1.841,0.27337001685974754,0.7266299831402524,0.2057490886600828,0.7942509113399172
1842,1.842,0.2733255677392118,0.7266744322607881,0.20576298800284945,0.7942370119971507
1843,1.843,0.27328116865184904,0.726718831348151,0.20577688262695634,0.7942231173730437
