id_in_session_p1,id_in_session_p2,participant_code_p1,participant_code_p2,total_payoff_p1,total_payoff_p2,payoff_round_p1,payoff_round_p2,examiner_decision,student_decision,Cell,p1s1,p1s2,p2s1,p2s2,pf_diff_p1_val,pf_diff_p2_val,pf_diff_p1_abs,pf_diff_p2_abs,pf_diff_p1_s,pf_diff_p2_s,game_id,round_number,framing
13,14,uwz2vbjr,b7ctrqau,300,274,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,uwz2vbjrb7ctrqau,27,1
15,16,ipmny9rq,i18sqw1f,375,374,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ipmny9rqi18sqw1f,27,1
17,18,ouaa8yuq,qxal8ioj,342,328,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ouaa8yuqqxal8ioj,27,1
19,20,oy8wn5im,y9iygxxf,343,348,3,16,Don't Control,Cheat,3,0,1,1,0,-13,13,1,1.3,1,-1.3,oy8wn5imy9iygxxf,27,1
21,22,9smjkz19,6ub1usmw,367,380,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,9smjkz196ub1usmw,27,1
23,24,0bmasffv,6zqxv643,309,286,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,0bmasffv6zqxv643,27,1
25,26,sj2ft9f6,6fsse8c1,294,204,12,2,Control,Cheat,1,1,0,1,0,10,-10,0.769230769,1,-0.769230769,1,sj2ft9f66fsse8c1,27,1
27,28,rj5j60np,i7rlg7cc,307,300,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,rj5j60npi7rlg7cc,27,1
1,2,265l99ai,2fsj9qvt,378,390,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,265l99ai2fsj9qvt,28,1
3,4,7xjh9hwo,e8jis7nf,303,290,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,7xjh9hwoe8jis7nf,28,1
5,6,zo9j0hsi,iyu7t1vc,261,330,12,2,Control,Cheat,1,1,0,1,0,10,-10,0.769230769,1,-0.769230769,1,zo9j0hsiiyu7t1vc,28,1
7,8,3fmd8mik,qkypffhk,392,392,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,3fmd8mikqkypffhk,28,1
9,10,r3oyr52t,3u51j68w,304,408,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,r3oyr52t3u51j68w,28,1
11,12,xtfge1ys,i2nn9ow6,330,158,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,xtfge1ysi2nn9ow6,28,1
13,14,uwz2vbjr,b7ctrqau,311,284,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,uwz2vbjrb7ctrqau,28,1
15,16,ipmny9rq,i18sqw1f,389,388,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ipmny9rqi18sqw1f,28,1
17,18,ouaa8yuq,qxal8ioj,356,342,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ouaa8yuqqxal8ioj,28,1
19,20,oy8wn5im,y9iygxxf,354,358,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,oy8wn5imy9iygxxf,28,1
21,22,9smjkz19,6ub1usmw,381,394,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,9smjkz196ub1usmw,28,1
23,24,0bmasffv,6zqxv643,323,300,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,0bmasffv6zqxv643,28,1
25,26,sj2ft9f6,6fsse8c1,297,220,3,16,Don't Control,Cheat,3,0,1,1,0,-13,13,1,1.3,1,-1.3,sj2ft9f66fsse8c1,28,1
